index, frame, sample, time, raw[0], cal[0]
334,157,0,6.63149,16046,22.2701
335,159,0,6.65129,16089,23.0359
336,161,0,6.67108,16086,22.9825
337,163,0,6.69088,16062,22.5551
338,165,0,6.71067,16066,22.6263
339,167,0,6.73047,16064,22.5907
340,169,0,6.75027,16080,22.8756
341,171,0,6.77006,16072,22.7332
342,173,0,6.78986,16053,22.3948
343,175,0,6.80965,16030,21.9851
344,177,0,6.82945,16046,22.2701
345,179,0,6.84924,16041,22.181
346,181,0,6.86904,16073,22.751
347,183,0,6.88883,16058,22.4838
348,185,0,6.90863,16055,22.4304
349,187,0,6.92843,16062,22.5551
350,189,0,6.94822,16055,22.4304
351,191,0,6.96802,16050,22.3413
352,193,0,6.98781,16072,22.7332
353,195,0,7.00761,16098,23.1962
354,197,0,7.0274,16078,22.84
355,199,0,7.0472,16057,22.466
356,201,0,7.06699,16071,22.7153
357,203,0,7.08679,16095,23.1428
358,205,0,7.10658,16068,22.6619
359,207,0,7.12638,16068,22.6619
360,209,0,7.14618,16074,22.7688
361,211,0,7.16597,16112,23.4456
362,213,0,7.18577,16079,22.8578
363,215,0,7.20556,16054,22.4126
364,217,0,7.22536,16050,22.3413
365,219,0,7.24515,16067,22.6441
366,221,0,7.26495,16092,23.0894
367,223,0,7.28474,16080,22.8756
368,225,0,7.30454,16087,23.0003
369,227,0,7.32434,16072,22.7332
370,229,0,7.34413,16051,22.3591
371,231,0,7.36393,16064,22.5907
372,233,0,7.38372,16080,22.8756
373,235,0,7.40352,16078,22.84
374,237,0,7.42331,16045,22.2523
375,239,0,7.44311,16044,22.2345
376,241,0,7.4629,16079,22.8578
377,243,0,7.4827,16064,22.5907
378,245,0,7.50249,16066,22.6263
379,247,0,7.52229,16069,22.6797
380,249,0,7.54209,16059,22.5016
381,251,0,7.56188,16082,22.9113
382,253,0,7.58168,16069,22.6797
383,255,0,7.60147,16099,23.2141
384,1,0,7.62127,16048,22.3057
385,3,0,7.64106,16058,22.4838
386,5,0,7.66086,16067,22.6441
387,7,0,7.68065,16043,22.2166
388,9,0,7.70045,16089,23.0359
389,11,0,7.72025,16073,22.751
390,13,0,7.74004,16080,22.8756
391,15,0,7.75984,16078,22.84
392,17,0,7.77963,16044,22.2345
393,19,0,7.79943,16092,23.0894
394,21,0,7.81922,16058,22.4838
395,23,0,7.83902,16084,22.9469
396,25,0,7.85881,16053,22.3948
397,27,0,7.87861,16057,22.466
398,29,0,7.8984,16056,22.4482
399,31,0,7.9182,16089,23.0359
400,33,0,7.938,16074,22.7688
401,35,0,7.95779,16064,22.5907
402,37,0,7.97759,16065,22.6085
403,39,0,7.99738,16064,22.5907
404,41,0,8.01718,16074,22.7688
405,43,0,8.03697,16041,22.181
406,45,0,8.05677,16047,22.2879
407,47,0,8.07656,16055,22.4304
408,49,0,8.09636,16097,23.1784
409,51,0,8.11616,16102,23.2675
410,53,0,8.13595,16087,23.0003
411,55,0,8.15575,16030,21.9851
412,57,0,8.17554,16067,22.6441
413,59,0,8.19534,16082,22.9113
414,61,0,8.21513,16058,22.4838
415,63,0,8.23493,16074,22.7688
416,65,0,8.25472,16055,22.4304
417,67,0,8.27452,16083,22.9291
418,69,0,8.29431,16071,22.7153
419,71,0,8.31411,16044,22.2345
420,73,0,8.33391,16101,23.2497
421,75,0,8.3537,16070,22.6975
422,77,0,8.3735,16066,22.6263
423,79,0,8.39329,16057,22.466
424,81,0,8.41309,16063,22.5729
425,83,0,8.43288,16057,22.466
426,85,0,8.45268,16055,22.4304
427,87,0,8.47247,16077,22.8222
428,89,0,8.49227,16069,22.6797
429,91,0,8.51207,16086,22.9825
430,93,0,8.53186,16045,22.2523
431,95,0,8.55166,16077,22.8222
432,97,0,8.57145,16104,23.3031
433,99,0,8.59125,16085,22.9647
434,101,0,8.61104,16091,23.0716
435,103,0,8.63084,16067,22.6441
436,105,0,8.65063,16082,22.9113
437,107,0,8.67043,16056,22.4482
438,109,0,8.69022,16056,22.4482
439,111,0,8.71002,16050,22.3413
440,113,0,8.72982,16106,23.3387
441,115,0,8.74961,16078,22.84
442,117,0,8.76941,16052,22.3769
443,119,0,8.7892,16081,22.8935
444,121,0,8.809,16050,22.3413
445,123,0,8.82879,16079,22.8578
446,125,0,8.84859,16062,22.5551
447,127,0,8.86838,16041,22.181
448,129,0,8.88818,16076,22.8044
449,131,0,8.90798,16074,22.7688
450,133,0,8.92777,16090,23.0538
451,135,0,8.94757,16063,22.5729
452,137,0,8.96736,16054,22.4126
453,139,0,8.98716,16054,22.4126
454,141,0,9.00695,16026,21.9139
455,143,0,9.02675,16046,22.2701
456,145,0,9.04654,16055,22.4304
457,147,0,9.06634,16044,22.2345
458,149,0,9.08613,16059,22.5016
459,151,0,9.10593,16070,22.6975
460,153,0,9.12573,16086,22.9825
461,155,0,9.14552,16081,22.8935
462,157,0,9.16532,16058,22.4838
463,159,0,9.18511,16055,22.4304
464,161,0,9.20491,16058,22.4838
465,163,0,9.2247,16065,22.6085
466,165,0,9.2445,16064,22.5907
467,167,0,9.26429,16067,22.6441
468,169,0,9.28409,16048,22.3057
469,171,0,9.30389,16095,23.1428
470,173,0,9.32368,16065,22.6085
471,175,0,9.34348,16037,22.1098
472,177,0,9.36327,16078,22.84
473,179,0,9.38307,16039,22.1454
474,181,0,9.40286,16068,22.6619
475,183,0,9.42266,16038,22.1276
476,185,0,9.44245,16044,22.2345
477,187,0,9.46225,16063,22.5729
478,189,0,9.48204,16048,22.3057
479,191,0,9.50184,16045,22.2523
480,193,0,9.52164,16064,22.5907
481,195,0,9.54143,16058,22.4838
482,197,0,9.56123,16094,23.125
483,199,0,9.58102,16045,22.2523
484,201,0,9.60082,16055,22.4304
485,203,0,9.62061,16037,22.1098
486,205,0,9.64041,16060,22.5194
487,207,0,9.6602,16091,23.0716
488,209,0,9.68,16106,23.3387
